doc_id,item,category,amount,price,discount
0AFD0F1FC2,Стиральный порошок БИОС 3кг,Бытовая химия,3,300,8
0AFD0F1FC2,Блинница Tefal,Посуда,1,1500,25
5BC3092781,Постельное белье 2-х сп. Венера,Текстиль,1,3000,4
24B50B8312,Постельное белье 1.5 сп. Венера,Текстиль,2,2500,6
D07992EB92,Сковорода 28см Tefal,Посуда,1,2500,21
D07992EB92,Йогурница ML-5 Bosh,Посуда,3,4000,0
E17CFEF454,Постельное белье 2-х сп. Венера,Текстиль,2,3000,13
E17CFEF454,Стиральный порошок БИОС 5 кг,Бытовая химия,3,400,25
AD2790184D,Постельное белье 2-х сп. Венера,Текстиль,2,3000,9
F3AD11168E,Сковорода 28см Tefal,Посуда,1,2500,2
35C8FD4852,Полотенце Венера 80*120,Текстиль,1,500,19
35C8FD4852,Сковорода 28см Tefal,Посуда,1,2500,21
D814516907,Стиральный порошок БИОС 5 кг,Бытовая химия,1,400,4
D814516907,Постельное белье 2-х сп. Венера,Текстиль,1,3000,15
58FFFDFB4D,Полотенце Венера 60*60,Текстиль,3,300,22
58FFFDFB4D,Йогурница ML-5 Bosh,Посуда,3,4000,21
